week,executive,mean_score,n
2024-05-28,maldini,-0.09369549094662943,192
2024-05-28,massara,-0.14865940916710174,13
2024-05-28,moncada,-0.09868401075205342,33
2024-06-04,cardinale,-0.17506819270971802,62
2024-06-04,furlani,-0.1189978246577084,30
2024-06-04,ibrahimovic,-0.04165251301525191,61
2024-06-04,maldini,-0.2667720612565366,84
2024-06-04,massara,-0.2168433087063022,4
2024-06-04,moncada,0.12856307563682398,15
2024-06-11,cardinale,-0.15654803558397268,58
2024-06-11,furlani,-0.16546987762951568,37
2024-06-11,gazidis,-0.8412552288112541,3
2024-06-11,ibrahimovic,-0.11644865859610339,105
2024-06-11,maldini,-0.2575611769687384,30
2024-06-11,massara,0.2381260097026825,1
2024-06-11,moncada,-0.1240892864020896,21
2024-06-18,cardinale,-0.47980778644516786,27
2024-06-18,furlani,-0.21339702582190512,16
2024-06-18,ibrahimovic,-0.22603494647912503,42
2024-06-18,maldini,-0.03922869115634713,43
2024-06-18,massara,-0.3758984487503767,1
2024-06-18,moncada,-0.09843517829930144,35
2024-06-25,cardinale,-0.27959999579470607,10
2024-06-25,furlani,0.4232910244318191,4
2024-06-25,gazidis,-0.9244965594261885,1
2024-06-25,ibrahimovic,-0.15780437321059013,19
2024-06-25,maldini,-0.012333231151168203,29
2024-06-25,moncada,-0.01674400908606393,7
2024-07-02,cardinale,-0.35980307520979915,76
2024-07-02,furlani,-0.32643258540831027,31
2024-07-02,gazidis,-0.0042245052754879,1
2024-07-02,ibrahimovic,-0.13445153458691808,115
2024-07-02,maldini,-0.28484221520345837,105
2024-07-02,massara,-0.743135180324316,1
2024-07-02,moncada,-0.30796869218387213,37
2024-07-09,cardinale,-0.18245878132984217,64
2024-07-09,furlani,-0.15308773040771484,25
2024-07-09,gazidis,-0.004666000604629517,1
2024-07-09,ibrahimovic,-0.09023421873959402,150
2024-07-09,maldini,-0.11461346441384164,62
2024-07-09,massara,-0.9588519933943948,3
2024-07-09,moncada,-0.04191554491214144,30
2024-07-16,cardinale,-0.037984275279323694,23
2024-07-16,furlani,-0.2451299296323365,12
2024-07-16,ibrahimovic,0.0088842973390099,79
2024-07-16,maldini,0.12348094256357195,49
2024-07-16,moncada,-0.2992862750349256,12
2024-07-23,cardinale,-0.12376846494929244,60
2024-07-23,furlani,-0.0964019664626738,66
2024-07-23,gazidis,0.0013350993394851685,2
2024-07-23,ibrahimovic,0.02992734000453669,33
2024-07-23,maldini,-0.12481697624601987,106
2024-07-23,massara,-0.5721974780317396,2
2024-07-23,moncada,-0.13866790192275258,38
2024-07-30,cardinale,-0.17868814457625407,29
2024-07-30,furlani,-0.08146350329311994,13
2024-07-30,gazidis,-0.49147312343120575,1
2024-07-30,ibrahimovic,-0.2662236843648965,84
2024-07-30,maldini,0.07966136595253677,48
2024-07-30,massara,-0.3896031160838902,3
2024-07-30,moncada,-0.14011759181845596,22
2024-08-06,cardinale,-0.18415207304661313,31
2024-08-06,furlani,-0.270244364568498,38
2024-08-06,ibrahimovic,-0.016311749854745965,84
2024-08-06,maldini,-0.20651774096062803,66
2024-08-06,massara,-0.3594323303550482,3
2024-08-06,moncada,-0.2506791663489171,35
2024-08-13,cardinale,-0.16560507251415402,70
